section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%
W1,dolostone,Bitter Springs,-2000.9,-53.4,-1,-6.1,,,
W1,dolostone,Bitter Springs,-2000.8,-53.3,-1.1,-4.9,,,
W1,insoluble residue,Bitter Springs,-2000.7,-53.2,,,-27.6,26.5,
W1,insoluble residue,Bitter Springs,-1999.5,-52,,,-28.7,27.2,
W1,dolostone,Bitter Springs,-1997.6,-50.1,-1.3,-5,,,
W1,dolostone,Bitter Springs,-1997.6,-50.1,-1.5,-5,,,
W1,dolostone,Bitter Springs,-1996.7,-49.2,-1,-5.3,-29,27.9,0.036
W1,dolostone,Bitter Springs,-1995.4,-47.9,-0.9,-5.5,,,
W1,dolostone,Bitter Springs,-1995,-47.5,-1.2,-5.6,,,
W1,dolostone,Bitter Springs,-1993.7,-46.2,-0.6,-5.3,,,
W1,dolostone,Bitter Springs,-1993.3,-45.8,-0.7,-5.8,,,
W1,insoluble residue,Bitter Springs,-1993.2,-45.7,,,-29.3,28.5,
W1,dolostone,Bitter Springs,-1991.5,-44,0.1,-5.3,,,
W1,dolostone,Bitter Springs,-1990.9,-43.4,-0.3,-5.5,,,
W1,dolostone,Bitter Springs,-1990.3,-42.8,-0.6,-5.5,,,
W1,dolostone,Bitter Springs,-1988.6,-41.1,-0.8,-5.2,-30,29.3,
W1,dolostone,Bitter Springs,-1988.1,-40.6,0.4,-5.1,,,
W1,dolostone,Bitter Springs,-1986.4,-38.9,-0.5,-5.6,,,
W1,dolostone,Bitter Springs,-1985.5,-38,0.2,-4.9,,,
W1,dolostone,Bitter Springs,-1984.2,-36.7,-0.4,-4.7,,,
W1,dolostone,Bitter Springs,-1983.2,-35.7,-0.3,-5.9,,,
W1,dolostone,Bitter Springs,-1981.9,-34.4,0.6,-4.5,-27.7,28.3,0.016
W1,dolostone,Bitter Springs,-1981.5,-34,0.4,-4.8,,,
W1,dolostone,Bitter Springs,-1980.2,-32.7,-0.3,-4,,,
W1,dolostone,Bitter Springs,-1979.4,-31.9,0.2,-5.5,,,
W1,insoluble residue,Bitter Springs,-1978.7,-31.2,,,-28.6,28.7,
W1,dolostone,Bitter Springs,-1978.6,-31.1,0.1,-5.5,,,
W1,dolostone,Bitter Springs,-1977.1,-29.6,0.5,-4.2,,,
W1,dolostone,Bitter Springs,-1976.8,-29.3,0.7,-4.6,,,
W1,dolostone,Bitter Springs,-1975.9,-28.4,-0.6,-5.3,,,
W1,dolostone,Bitter Springs,-1975,-27.5,0.2,-4.4,,,
W1,insoluble residue,Bitter Springs,-1973.8,-26.3,,,-28,28.8,
W1,dolostone,Bitter Springs,-1973.7,-26.2,0.8,-5.3,,,
W1,dolostone,Bitter Springs,-1972.4,-24.9,0.9,-5,,,
W1,insoluble residue,Bitter Springs,-1972.3,-24.8,,,-26.5,27.7,
W1,dolostone,Bitter Springs,-1972.2,-24.7,1.2,-5.3,,,
W1,dolostone,Bitter Springs,-1971.7,-24.2,1.2,-5.4,,,
W1,dolostone,Bitter Springs,-1970.5,-23,0.4,-4.8,,,
W1,dolostone,Bitter Springs,-1969.9,-22.4,1.1,-5,,,
W1,insoluble residue,Bitter Springs,-1969.2,-21.7,,,-27.5,28.6,
W1,dolostone,Bitter Springs,-1968.8,-21.3,1.6,-5.5,,,
W1,dolostone,Bitter Springs,-1967.6,-20.1,1.7,-5.7,,,
W1,dolostone,Bitter Springs,-1967.5,-20,1.7,-5.8,,,
W1,dolostone,Bitter Springs,-1966,-18.5,-1.3,-5.6,,,
W1,dolostone,Bitter Springs,-1965.3,-17.8,0.4,-4.4,,,
W1,dolostone,Bitter Springs,-1963.8,-16.3,0.8,-2.7,,,
W1,dolostone,Bitter Springs,-1963.2,-15.7,1,-2.6,,,
W1,dolostone,Bitter Springs,-1961.9,-14.4,1.3,-3.1,,,
W1,insoluble residue,Bitter Springs,-1961.9,-14.4,,,-27,28.3,
W1,dolostone,Bitter Springs,-1961.3,-13.8,1.6,-3.3,,,
W1,,Bitter Springs,-1960.9,-13.4,,,,,
W1,dolostone,Bitter Springs,-1960,-12.5,1.9,-2.2,-27.6,29.5,
W1,dolostone,Bitter Springs,-1958.8,-11.3,2,-2.3,,,
W1,dolostone,Bitter Springs,-1958.1,-10.6,2,-2.6,,,
W1,dolostone,Bitter Springs,-1957.2,-9.7,2.2,-3.2,,,
W1,dolostone,Bitter Springs,-1956.3,-8.8,2.6,-2,,,
W1,,Bitter Springs,-1955.4,-7.9,,,,,
W1,insoluble residue,Bitter Springs,-1955.3,-7.8,,,-28.3,32.4,0.109
W1,dolostone,Bitter Springs,-1954.2,-6.7,4.1,-2.7,,,
W1,dolostone,Bitter Springs,-1953.5,-6,4.2,-3.4,-27,,0.014
W1,dolostone,Bitter Springs,-1952,-4.5,4.8,-5,-26.6,31.4,
W1,dolostone,Bitter Springs,-1951.3,-3.8,4.6,-4.5,,,
W1,dolostone,Bitter Springs,-1950.6,-3.1,4.7,-2.5,,,
