sample,formation,section,sampling_level,rock_type,Mn_ppm,Fe_ppm,Sr_ppm,Rb_ppm,Mg/Ca,Mn/Sr,Fe/Sr,d13C,d18O,87Rb/86Sr,87Sr/86Sr
UK-49,Uk,Kurtaza,165,limestone,28,445,155,,0.014,0.18,2.9,1.2,-6.1,,
UK-48,Uk,Kurtaza,162,limestone,18,140,123,0.08,0.007,0.15,1.1,1.3,-5.7,0.0019,0.70609
UK-45,Uk,Kurtaza,142,limestone,32,200,110,,0.006,0.29,1.8,1.4,-5.5,,
UK-44,Uk,Kurtaza,137,limestone,34,220,118,,0.005,0.29,1.9,1.4,-5.8,,
UK-43,Uk,Kurtaza,125,limestone,35,130,182,0.19,0.006,0.19,0.71,1.6,-5.5,0.003,0.70605
UK-42,Uk,Kurtaza,120,limestone,31,305,154,,0.005,0.2,2,1.5,-5.3,,
UK-19,Uk,Kurtaza,112,limestone,38,170,159,0.32,0.005,0.24,1.1,1.9,-5.8,0.0058,0.7061
UK-18,Uk,Kurtaza,92,limestone,41,515,202,,0.042,0.2,2.6,1.7,-5.6,,
UK-17,Uk,Kurtaza,87,limestone,790,4010,83,0.05,0.296,9.5,48.3,1.3,-7,0.0016,0.70709
UK-16,Uk,Kurtaza,77,limestone,49,375,214,0.18,0.007,0.28,1.8,2.6,-7.6,0.0025,0.70636
UK-15,Uk,Kurtaza,72,limestone,22,165,207,,0.004,0.11,0.8,2.6,-7.2,,
UK-14,Uk,Kurtaza,62,limestone,230,1610,80,,0.299,2.9,20.1,2.1,-6,,
UK-13,Uk,Kurtaza,60,limestone,78,195,123,,0.004,0.63,1.6,1.9,-5.4,,
UK-12,Uk,Kurtaza,47,limestone,105,270,83,,0.003,1.3,3.3,1.3,-5.8,,
UK-11,Uk,Kurtaza,44,limestone,75,170,75,,0.005,1,2.3,1.4,-5.1,,
UK-10,Uk,Kurtaza,41,limestone,110,250,90,,0.003,1.2,2.8,1.3,-5.7,,
UK-9,Uk,Kurtaza,38,limestone,55,325,314,0.21,0.005,0.18,1,1.7,-7.2,0.0019,0.70586
UK-8,Uk,Kurtaza,33,limestone,60,385,727,0.27,0.006,0.08,0.53,2.7,-6.2,0.0011,0.70542
UK-7,Uk,Kurtaza,27,limestone,140,505,440,,0.007,0.32,1.2,2.6,-5,,
UK-6,Uk,Kurtaza,26,limestone,50,275,512,0.11,0.008,0.1,0.54,3.2,-5.4,0.0006,0.70562
UK-5,Uk,Kurtaza,23,limestone,45,330,330,,0.008,0.14,1,1.4,-5.2,,
UK-4,Uk,Kurtaza,10,limestone,32,225,755,0.59,0.006,0.04,0.3,3.4,-4.4,0.0023,0.70533
UK-3,Uk,Kurtaza,8,limestone,63,1790,170,,0.007,0.37,10.5,1.4,-4.7,,
UK-1,Uk,Kurtaza,3,limestone,76,1010,305,,0.012,0.25,3.3,1.8,-6.1,,
3573-1,Uk,Kulmas,30,limestone,66,410,90,,0.006,0.73,4.6,1.5,-4.2,,
3573-2,Uk,Kulmas,23,limestone,64,260,146,,0.002,0.44,1.8,2.1,-4.3,,
3573-7,Uk,Kulmas,7,limestone,27,470,437,,0.008,0.06,1.1,2.5,-4,,
KM-59,Min'yar,Bakeevo,560,dolostone,650,2000,96,,0.601,6.8,20.8,-1.1,-6.2,,
KM-61,Min'yar,Bakeevo,550,dolostone,665,2150,90,,0.643,7.4,23.9,-1.3,-5.3,,
KM-63,Min'yar,Bakeevo,545,dolostone,565,2060,99,,0.621,5.6,20.6,-1.6,-5.5,,
KM-66,Min'yar,Bakeevo,535,dolostone,250,1240,91,,0.609,2.8,13.6,-1.4,-5.6,,
BK-20,Min'yar,Bakeevo,526,dolostone,320,1540,99,0.15,0.623,3.2,15.5,-1.5,-5.4,0.0045,0.70644
KM-67,Min'yar,Bakeevo,520,dolostone,180,990,82,,0.595,2.2,12.1,-1.4,-5,,
KM-68,Min'yar,Bakeevo,515,dolostone,115,1030,98,,0.604,1.2,10.5,-1.3,-5,,
KM-71,Min'yar,Bakeevo,500,dolostone,76,1090,,,0.573,,,-1.4,-8.9,,
KM-73,Min'yar,Bakeevo,490,dolostone,31,315,118,0.12,0.609,0.26,2.7,-1.6,-4,0.003,0.70582
KM-75,Min'yar,Bakeevo,485,dolostone,95,700,99,,0.606,0.96,7.1,-0.7,-4.6,,
KM-76,Min'yar,Bakeevo,480,dolostone,105,660,92,,0.619,1.1,7.2,-0.9,-4.7,,
BK-19,Min'yar,Bakeevo,477,dolostone,130,825,103,0.06,0.623,1.3,8,-0.9,-5.8,0.0017,0.70637
KM-79,Min'yar,Bakeevo,465,dolostone,110,750,88,,0.632,1.2,8.5,-1.1,-5.8,,
KM-80,Min'yar,Bakeevo,460,dolostone,115,770,82,,0.634,1.4,9.3,-1.5,-5.9,,
KM-81,Min'yar,Bakeevo,455,dolostone,90,630,84,,0.639,1.1,7.5,-1.6,-5.5,,
BK-18,Min'yar,Bakeevo,451,dolostone,76,710,85,0.06,0.601,0.89,8.3,-2.8,-5.7,0.0021,0.70593
KM-83,Min'yar,Bakeevo,445,dolostone,115,750,146,,0.664,0.79,5.1,-0.4,-3.4,,
KM-87,Min'yar,Bakeevo,425,dolostone,85,550,81,0.08,0.611,1.1,6.8,-2.5,-4.2,0.0029,0.70587
KM-88,Min'yar,Bakeevo,420,dolostone,105,620,77,,0.648,1.4,8,-1.7,-5.6,,
BK-17,Min'yar,Bakeevo,414,dolostone,48,170,80,0.15,0.604,0.6,2.1,-1.3,-7.6,0.0055,0.70579
KM-90,Min'yar,Bakeevo,410,dolostone,140,430,99,,0.633,1.4,4.3,-1.7,-5.9,,
KM-94,Min'yar,Bakeevo,390,dolostone,66,495,65,,0.645,1,7.6,-2.3,-5.3,,
BK-16,Min'yar,Bakeevo,389,dolostone,64,165,75,0.05,0.626,0.85,2.2,-2.4,-5.7,0.002,0.7062
KM-97,Min'yar,Bakeevo,375,dolostone,50,255,87,,0.616,0.58,3,-1.9,-5.3,,
BK-15,Min'yar,Bakeevo,344,dolostone,70,115,68,0.04,0.644,1,1.7,-2.1,-7,0.002,0.7068
