sample,strat_m,Sr_ppm,Mn_ppm,Fe_ppm,perc_dissolution,Mg/Ca,87Sr/86Sr,lithology,d13C,d18O,section,formation
Tsag. 1,0.4,2900,225,117,95,0.0019,0.706754,,,,,Tsagaan Oloom
Tayshir 2,4,1350,303,522,94,0.0054,0.706796,,,,,Tsagaan Oloom
Tsag. 2*,10,960,124,103,77,0.0033,0.70699,,,,,Tsagaan Oloom
Tsag. 3,16,1500,140,217,94,0.0022,0.706944,,,,,Tsagaan Oloom
Tsag. 4,22,1060,157,153,96,0.002,0.70705,,,,,Tsagaan Oloom
Tsag. 5,30,1500,156,2000,91,0.0024,0.707094,,,,,Tsagaan Oloom
Tsag. 6,35,650,15,20,98,,0.7072,,,,,Tsagaan Oloom
Tsag. 7,40,1700,12,30,97,0.0013,0.707164,,,,,Tsagaan Oloom
Tsag. 8,45,950,18,35,97,0.0015,0.707224,,,,,Tsagaan Oloom
Tsag. 9*,50,,13,20,97,,0.707288,,,,,Tsagaan Oloom
Tsag. 19-TS7*,360,934,,,,,0.707345,,,,,Tsagaan Oloom
Tsag. 20-TS8*,380,1110,,,,,0.707247,,,,,Tsagaan Oloom
Tsag. 11*,392,,,,95,,0.708273,,,,,Tsagaan Oloom
Tsag. 20-TS9*,430,60,,,,,0.707253,,,,,Tsagaan Oloom
Tsag. 20-TS10*,475,2043,,,,,0.707693,,,,,Tsagaan Oloom
Tsag. 12*,510,,,,,,0.707864,,,,,Tsagaan Oloom
Tsag. 13*,520,,,,97,,0.708297,,,,,Tsagaan Oloom
Tsag. 14*,530,95,86,1400,87,0.0022,0.708355,,,,,Tsagaan Oloom
Tsag. 16*,540,1500,100,1300,60,0.0021,0.707887,,,,,Tsagaan Oloom
KTN 1*,554,45,120,788,98,,0.707856,,,,,Tsagaan Oloom
KTN 2*,559,39.5,45,1154,98,,0.708095,,,,,Tsagaan Oloom
Tsag. 21,564,2300,26,128,94,0.0013,0.707871,,,,,Tsagaan Oloom
KTN 3*,564,43,52,1308,98,,0.70805,,,,,Tsagaan Oloom
KTN 4*,569,34,30,438,98,,0.708122,,,,,Tsagaan Oloom
Bay S1a*,596,122,204,1100,73,,0.70864,,,,,Tsagaan Oloom
Bay S0,598,990,183,1070,86,0.0028,0.70853,,,,,Tsagaan Oloom
Tsag. 20,618,2300,28,410,90,0.0017,0.708417,,,,,Tsagaan Oloom
Bay S4,618,620,38,150,95,0.0047,0.708527,,,,,Tsagaan Oloom
