section,label_height,strat_height,d13C,d13Cstd,d18O,d18Ostd,mts_mtx
T47,B.1,80,,,,,mtx
T47,B.2,80,1.258817783,0.072358393,-1.155424937,0.103401149,mtx
T47,B.3,80,3.07300273,0.106081829,-10.54463614,0.082829781,mtx
T47,B.4,80,-2.084383193,0.075932944,-9.999405513,0.155285311,mtx
T47,B.5,80,1.348485059,0.125958036,-10.00067575,0.178532846,mtx
T47,B.6,80,0.523203643,0.060772127,-10.9961936,0.138973757,mtx
T47,B.7,80,1.300820039,0.083088437,-11.30357743,0.137303821,mtx
T47,B.8,80,-5.072852868,0.037984757,4.861992636,0.169174481,mtx
T47,B.9,80,-3.994462569,0.036616667,-4.812030723,0.154906003,mtx
T47,B.10,80,-4.0256518,0.087514429,-11.85883211,0.143331038,mtx
T47,B.11,80,5.100179896,0.058551495,-12.00018283,0.154083168,mtx
T47,B.12,80,5.291591116,0.159044139,-11.88538316,0.130165549,mtx
T47,B.13,80,1.926725001,0.067855499,-10.87177287,0.203470212,mtx
T47,B.14,80,2.18802757,0.103192522,-7.572433887,0.071560981,mtx
T47,B.15,80,2.622828266,0.056598632,-8.051595854,0.116455564,mtx
T47,B.16,80,1.978775152,0.106703141,-12.10698116,0.185348279,mtx
T47,B.17,80,,,,,mtx
T47,B.18,80,,,,,mtx
T47,B.19,80,-2.045025204,0.061207465,-4.676697027,0.133742682,mtx
T47,B.20,80,-0.14346537,0.094695266,-12.01597423,0.118610975,mtx
T47,B.21,80,2.956379651,0.094121802,-11.8508743,0.214666827,mtx
T47,B.22,80,0.878488394,0.068973281,-11.32667229,0.138051946,mtx
T47,B.23,80,2.271472901,0.116343301,-9.403648114,0.301262173,mtx
T47,B.24,80,-1.335278372,0.124431341,-10.54518472,0.20518919,mtx
T47,B.25,80,2.629137472,0.077400076,-10.96938133,0.133026258,mtx
T47,B.26,80,,,,,mtx
T47,B.27,80,4.642133985,0.072910232,-11.87286569,0.157866601,mtx
T47,B.28,80,2.932255391,0.055106274,-11.55518283,0.103779952,mtx
T47,B.29,80,5.091059735,0.06354861,-11.98250595,0.113552384,mtx
T47,B.30,80,,,,,mtx
T47,B.31,80,,,,,mtx
T47,B.32,80,-1.925717681,0.14545827,-11.77501935,0.13006023,mtx
T47,B.33,80,-0.484360049,0.084030296,-10.87493849,0.15949987,mtx
T47,B.34,80,2.722194285,0.058913237,-11.31907257,0.369460237,mtx
T47,B.35,80,,,,,mtx
T47,B.36,80,,,,,mtx
T47,B.37,80,,,,,mtx
T47,B.38,80,5.315802627,0.041066007,-11.91269409,0.13618981,mtx
T47,B.39,80,1.020697649,0.04644305,-9.711128927,0.067077015,mtx
T47,B.40,80,1.344289063,0.035386873,-9.755951444,0.115018037,mtx
T47,B.41,80,4.129876452,0.062828724,-12.37122255,0.18457298,mtx
T47,T.1,180,3.473051639,0.053814086,0.506009204,0.100928421,mtx
T47,T.2,180,5.381818655,0.064618323,-12.58317794,0.222119849,mtx
T47,T.3,180,1.581429023,0.050712212,-11.65377771,0.160869654,mtx
T47,T.4,180,,,,,mtx
T47,T.5,180,,,,,mtx
T47,T.6,180,,,,,mtx
T47,T.7,180,5.52906025,0.07370108,-0.285255285,0.053998068,mtx
T47,T.8,180,4.44097255,0.10439465,-12.38089326,0.142864631,mtx
T47,T.9,180,4.185044486,0.1204822,-12.23922916,0.212264823,mtx
T47,T.10,180,3.775762913,0.08301746,-12.18023726,0.045064017,mtx
T47,T.11,180,2.795897645,0.0267717,-2.764786897,0.034639402,mtx
T47,T.12,180,3.242172696,0.07674367,-0.344531522,0.142798372,mtx
T47,T.13,180,2.777065353,0.072902127,-12.33409905,0.0651625,mtx
T47,T.14,180,2.590843882,0.128768045,-11.63756141,0.301419034,mtx
T47,T.15,180,2.216168131,0.009610658,-7.376219039,0.020377722,mtx
T47,T.16,180,5.776939303,0.107840728,-5.415546069,0.125310777,mtx
T47,T.17,180,1.154876412,0.063603001,-1.111302376,0.189712681,mtx
T47,T.18,180,2.149804095,0.10080058,-11.87040889,0.070084805,mtx
T47,T.19,180,4.042343185,0.062563905,1.108258815,0.204160449,mtx
T47,T.20,180,4.601011239,0.117278002,-11.80512899,0.184105901,mtx
T47,T.21,180,5.535653555,0.118884053,-11.46491559,0.501801553,mtx
T47,T.22,180,,,,,mtx
T47,T.23,180,,,,,mtx
T47,T.24,180,,,,,mtx
T47,T.25,180,3.394672016,0.046028805,-11.82232919,0.070028103,mtx
T47,T.26,180,2.029514876,0.067637683,-11.81936131,0.167938744,mtx
T47,T.27,180,5.241071731,0.11139707,-11.61455165,0.155000993,mtx
T47,T.28,180,4.980971416,0,-11.67309039,0,mtx
T47,T.29,180,3.770542793,0.089796958,-10.6892324,0.089127236,mtx
T47,T.30,180,0.198847263,0.057765585,-10.88858104,0.131308265,mtx
T47,T.31,180,5.494051071,0.049756876,-11.88769983,0.132296477,mtx
T47,T.32,180,-1.33039693,0.039391278,-12.93378428,0.15314801,mtx
T47,T.33,180,,,,,mtx
T47,T.34,180,,,,,mtx
T47,T.35,180,3.653580411,0.033734993,-12.58100331,0.262417711,mtx
T47,T.36,180,3.763558758,0.065401892,-12.93908967,0.19833592,mtx
T47,T.37,180,-0.910560909,0.028607011,-9.602149379,0.078436687,mtx
T47,T.38,180,,,,,mtx
T47,T.39,180,,,,,mtx
