Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum
T1b,23/6/15,,,,,WGS84
,,,,,,
,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,,
0.3,si,vfss,,,,
0.1,volc,tuff,,,,
0.9,si,vfss,pl,,,
4.8,si,gw,,,,
0.2,volc,tuff,,,,
1.7,si,css,,,,
1.3,si,vfss,,,,
0.7,bslt,mves,,,,
3.1,bslt,m,,,,
16.4,cover,cover,,,,
3.8,si,sts,,,,
6,si,sst,,,,
5.2,bslt,mves,,,,
2,bslt,mves,,,,
9.5,volc,br,,,,
0.9,cover,cover,,,,
23.2,si,sst,,,,
2.7,si,fss,,,,
0.9,si,sts,,,,
0.4,si,pcg,,,,
11.2,si,sts,,,,
3.8,si,fss,,,,
3.5,si,mss,,,,
0.7,si,sts,,,,
11.9,bslt,m,,,,
5.5,bslt,mves,,,,
16.8,cover,cover,,,,
2.4,bslt,mves,,,,
12.9,cover,cover,,,,
0.4,bslt,mves,,,,
19.4,cover,cover,,,,
10.3,volc,br,,,,
8.6,si,sts,pl,,,
1.1,volc,br,,,,
9.4,bslt,mves,,,,
1.6,si,cgl,,,,
0.5,cover,cover,,,,
2.8,si,cgl,,,,
7.2,volc,br,,,,
33.6,volc,ves,,,,
2.8,volc,mves,,,,
6.5,volc,br,,,,
2.4,si,sts,,,,
3.2,volc,br,,,,
2.8,volc,br,,,,
1.4,si,vfss,,,,
1.4,cover,cover,,,,
3.4,volc,br,,,,
4.2,si,sts,,,,
12.7,si,vfss,,,,
5.9,volc,br,,,,
6.3,si,mss,,,,
1.3,volc,br,,,,
3,si,fss,,,,
13.6,volc,br,,,,
0.7,si,mss,,,,
18.4,volc,br,,,,
1.7,cover,cover,,,,
2,volc,br,,,,
0.9,cover,cover,,,,
7.1,volc,br,,,,
23.3,cover,cover,,,,
8.4,volc,br,,,,
22.4,volc,br,,,,
1.8,cover,cover,,,,
23.8,volc,br,,,,
10,volc,br,,,,
3.8,cover,cover,,,,
6.6,volc,br,,,,
0.3,si,fss,xb,,,
0.1,volc,tuff,,,,
9.8,si,mss,hcs,,,
5.6,volc,br,,,,
50.4,cover,cover,,,,
4.3,si,vfss,,,,
41.1,cover,cover,,,,
5.2,si,sts-mss,,,,
0.4,volc,tuff,,,,
1.8,cover,cover,,,,
4.4,si,mss,icb,,,
0.5,si,cgl,,,,
4.2,si,fss,icb,,,
25.2,cover,cover,,,,
8.4,si,sts,,,,
4.8,si,css-sts,,,,
1.8,bslt,m,,,,
1.5,si,sts,,,,
2.8,si,mss-sts,,,,
7.7,bslt,m,,,,
0.1,si,sts,,,,
1.6,bslt,m,,,,
0.5,si,vfss,,,,
0.7,cover,cover,,,,
0.4,si,sts,,,,
13,cover,cover,,,,
2,si,mss-sts,icb,,,
12.4,cover,cover,,,,
4.5,bslt,m,,,,
0.3,si,mss-sts,,,,
0.6,si,pcg,,,,
0.4,si,ccg,,,,
0.2,si,mss,,,,
36.4,cover,cover,,,,
0.6,si,sts,,,,
0.8,bslt,m,,,,
3,si,sts,icb,,,
0.2,volc,tuff,,,,
2.8,bslt,m,,,,
6.1,si,sts,icb,,,
4.2,si,fss,icb,,,
3.7,cover,cover,,,,
3.5,si,fss,xb,,,
0.6,bslt,m,,,,
1.4,si,fss,,,,
2.8,si,gw,,,,
4.2,si,gw,pl,,,
1.4,cover,cover,,,,
2.8,si,gw,,,,
0.2,volc,tuff,,,,
9.8,si,gw,,,,
3.1,si,gw,,,,
0.2,volc,tuff,,,,
0.8,si,mss,,,,
