Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T40,6/15/15,13.157848,39.240549,13.160571,39.231322,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.6,dl,ri,,,489,486.6,,0.4,,0.4,0,0.766,0.036,-0.814,0.064,mtx,,,,,,,,,
1.5,ml,ml,,,,,,1.5,,1.5,0,1.737,0.073,0.893,0.184,mtx,,,,,,,,,
1.3,dl,ri,,,,,,3.2,,3.2,2,1.882,0.034,0.732,0.082,mtx,,,,,,,,,
0.6,cover,cover,,,,,,5.7,,5.7,5,1.398,0,-0.682,0,mtx,,,,,,,,,
0.6,ml,ml,,,,,,6.8,,6.8,7,1.661,0.071,-0.516,0.107,mtx,,,,,,,,,
0.5,dl,R,,,,,,10.3,,10.3,10,0.744,0.054,0.217,0.135,mtx,,,,,,,,,
0.5,ml,ml,,,,,,11.8,,11.8,12,0.911,0.035,0.087,0.23,mtx,,,,,,,,,
0.5,dl,gr,icb,,,,,18.7,,18.7,17,1.485,0.049,-3.35,0.504,mtx,,,,,,,,,
0.7,dl,ri,,,,,,19.8,,19.8,18,1.284,0.06,-0.686,0.494,mtx,,,,,,,,,
1.8,cover,cover,,,,,,21.5,,21.5,20,0.788,0.045,0.443,0.112,mtx,,,,,,,,,
0.9,dl,R,gr,,,,,26.1,,26.1,25,1.7,0.055,-5.935,0.715,mtx,,,,,,,,,
0.3,cover,cover,,,,,,26.9,,26.9,25,2.366,0.03,-1.009,0.14,mtx,,,,,,,,,
1.2,dl,ri,,,,,,27.6,,27.6,25,2.595,0.022,-1.242,0.083,mtx,,,,,,,,,
0.7,cover,cover,,,,,,30.5,,30.5,29,0.37,0.067,-1.325,0.121,mtx,,,,,,,,,
0.5,dl,ri,,,,,,32.5,,32.5,31,1.965,0.038,-1,0.052,mtx,,,,,,,,,
4.6,cover,cover,,,,,,34.5,,34.5,35,1.584,0.036,-0.373,0.162,mtx,,,,,,,,,
0.3,dl,ri,,,,,,37.3,,37.3,36,1.19,0.101,-0.987,0.172,mtx,,,,,,,,,
1.6,dl,R,mi,,,,,38.5,,38.5,36,1.978,0.043,-6.686,0.279,mtx,,,,,,,,,
0.4,dl,gr,icb,,,,,39,,39,38,1.85,0.067,-0.376,0.16,mtx,,,,,,,,,
0.9,cover,cover,,,,,,40.2,,40.2,38,1.925,0.01,-1.175,0.16,mtx,,,,,,,,,
0.7,dl,gr,,,,,,41.1,,41.1,38,1.752,0.024,-2.23,0.178,mtx,,,,,,,,,
0.3,cover,cover,,,,,,43.3,,43.3,40,2.305,0.057,-1.45,0.187,mtx,,,,,,,,,
0.8,dl,ri,,,,,,44.1,,44.1,40,2.032,0.021,-0.823,0.088,mtx,,,,,,,,,
2.5,cover,cover,,,,,,106.4,,106.4,42,-3.53,0.079,-11.527,0.916,mtx,,,,,,,,,
0.6,dl,R,mi,,,,,113.1,,113.1,44,4.127,0.038,-6.634,0.138,mtx,,,,,,,,,
2.6,dl,R,gr,,,,,114.4,,114.4,45,3.945,0.05,-7.564,0.162,mtx,,,,,,,,,
0.7,cover,cover,,,,,,115,,115,45,4.716,0.047,-7.987,0.1,mtx,,,,,,,,,
0.3,dl,R,gr,,,,,115.8,,115.8,46,4.903,0.048,-7.183,0.233,mtx,,,,,,,,,
0.8,cover,cover,,,,,,116.7,,116.7,47,5.565,0.034,-4.78,0.164,mtx,0.706488122,-69.29165561,447345.2153,8.595093907,1590.881501,12.6234436,158.5410135,-0.440056613,1215.884253
0.4,dl,R,icb,,,,,118.7,,118.7,51,5.994,0.025,-5.403,0.105,mtx,,,,,,,,,
0.7,cover,cover,,,,,,120,,120,52,5.968,0.084,-6.862,0.179,mtx,,,,,,,,,
1.2,dl,icb,,,,,,121.9,,121.9,55,6.284,0.079,-5.669,0.347,mtx,,,,,,,,,
0.7,dl,gr,pl,,,,,123.5,,123.5,56,5.2,0.101,-7.645,0.564,mtx,,,,,,,,,
0.3,cover,cover,,,,,,124.3,,124.3,57,6.365,0.276,-3.603,1.606,mtx,,,,,,,,,
0.4,dl,gr,pl,,,,,126.1,,126.1,58,7.059,0.049,-4.705,0.279,mtx,,,,,,,,,
