Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T61,6/8/17,13.082667,39.19658,13.085464,39.192134,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
0.2,ls,gr,mts,,0.4,,0.4,1,5.661712079,0.087252699,-3.999829052,0.197817373,mtx
0.2,ls,ri,,,2.3,,2.3,4,5.809778688,0.055444037,-3.607499267,0.116852817,mtx
0.2,ls,gr,mts,,4,,4,6,5.511923025,0.119435114,-4.033795684,0.408148011,mtx
0.3,ls,ri,,,5.9,,5.9,7,5.947763509,0.029541002,-4.05909386,0.141010338,mtx
1.4,ls,gr,mts,,7.3,,7.3,9,5.027342298,0.075360132,-4.358718333,0.160586451,mtx
1,cover,cover,,,9.2,,9.2,11,5.679806034,0.04246067,-7.044591658,0.243281903,mtx
1.7,ls,ri,mts,,10.8,,10.8,13,5.493636902,0.053878977,-3.694728818,0.227601513,mtx
1.3,ls,gr,mts,,13.1,,13.1,16,4.693267886,0.046798825,-6.360428085,0.22809721,mtx
0.8,cover,cover,,,14.9,,14.9,16,5.027777406,0.053347789,-3.710382345,0.289054729,mtx
0.7,ls,ri,mts,,17,,17,16,4.17242408,0.107168061,-5.610333423,0.37271044,mtx
0.8,cover,cover,,,17,,17,16,4.886341303,0.093886733,-5.16277807,0.173579269,mtx
0.6,ls,icb,olt,,47.5,,47.5,19,2.116565591,0.122474233,-7.501102595,0.342456918,mtx
0.2,cover,cover,,,48.4,,48.4,21,2.278779294,0.080820085,-8.725871601,0.128033437,mtx
1.4,ls,gr,,,50.4,,50.4,23,,,,,mtx
0.6,ls,icb,,,53,,53,25,3.649887144,0.081156644,-8.192487365,0.240542043,mtx
1.4,ls,gr,,,54.3,,54.3,25,4.31621935,0.061515107,-7.657124035,0.17714095,mtx
4.7,ls,st,,,57.4,,57.4,27,4.482486192,0.117392579,-7.720525129,0.335007299,mtx
28,si,sts,,,61.4,,61.4,30,5.577973243,0.070004503,-7.461857904,0.124878281,mtx
2,si,sts,,,64,,64,31,6.497768536,0.121070921,-7.503738709,0.911680789,mtx
0.3,ls,ri,,,65.8,,65.8,33,6.665699806,0.100794407,-7.102397713,0.562211525,mtx
0.4,cover,cover,,,69.2,,69.2,35,5.785774952,0.069959677,-6.94678954,0.075302339,mtx
0.8,ls,ri,,,72,,72,37,6.721283028,0.057149078,-6.081499386,0.090637931,mtx
1.2,cover,cover,,,75.4,,75.4,37,6.765586399,0.051075833,-5.449515474,0.151190514,mtx
0.4,ls,ri,,,76.8,,76.8,39,6.932321335,0.065504009,-5.110813484,0.100627085,mtx
2.4,ls,ri-sts,,,77.7,,77.7,39,6.764422036,0.076619521,-5.360923083,0.12531643,mtx
2.6,ls,ri,mts,,79.7,,79.7,41,6.912361522,0.058835998,-5.490197133,0.1927545,mtx
1.2,cover,cover,,,81,,81,41,6.621192655,0.0631261,-5.186784015,0.15270506,mtx
0.6,ls,ri,,,82.3,,82.3,42,6.753135258,0.067277146,-4.964119526,0.213714761,mtx
1.2,ls,ri-sts,,,84,,84,44,6.9060261,0.0522456,-4.817266742,0.170566818,mtx
2.6,cover,cover,,,85.9,,85.9,45,7.026231741,0.05352296,-4.424201458,0.153886746,mtx
2.8,ls,ri,,,87.2,,87.2,45,6.538135727,0.040932803,-5.62459684,0.191198934,mtx
0.6,ls,gr,,,88.4,,88.4,46,7.096307811,0.078274622,-4.09945146,0.09458046,mtx
1.2,cover,cover,,,89.1,,89.1,47,6.555032657,0.062289002,-5.530492691,0.136304051,mtx
1,ls,ri,,,90.5,,90.5,48,7.068193192,0.042085445,-4.149463027,0.234466609,mtx
1.7,cover,cover,,,91.4,,91.4,49,6.696192823,0.078584794,-5.151854645,0.177857275,mtx
0.7,ls,ri,,,92.5,,92.5,49,6.732678712,0.067267929,-5.841435993,0.336058686,mtx
2.6,cover,cover,,,96.3,,96.3,50,7.332655079,0.130407264,-4.9727521,0.548949913,mtx
4.5,ls,ri,,,97.3,,97.3,52,7.051018607,0.07078489,-4.041887693,0.112558223,mtx
0.4,ls,gr,mts,,98.7,,98.7,54,6.74717524,0.068991601,-4.307882733,0.19675615,mtx
2.8,ls,ri,,,100.1,,100.1,54,6.693606911,0.197446387,-4.009033581,0.677625665,mtx
0.1,ls,gr,,,102.3,,102.3,54,2.01186921,0.135252907,-7.59337738,0.685253097,mtx
2.7,ls,ri,,,103.1,,103.1,55,5.649941054,0.072931147,-4.215021853,0.260454415,mtx
0.1,ls,gr,,,106.7,,106.7,56,5.993760603,0.068351288,-3.109512005,0.238455593,mtx
1.6,ls,ri,,,109.9,,109.9,56,4.724531192,0.087876942,-3.215082933,0.212616037,mtx
0.2,ls,gr,,,111.6,,111.6,58,0.765380022,0.074484018,-2.770863572,0.303758468,mtx
3.9,ls,ri,,,113.3,,113.3,58,0.899143793,0.166999927,-7.319525821,0.333561876,mtx
1,ls,gr,,,153.4,SUB 0.1,153.3,61,0.745654421,0.0427451,-5.06897014,0.231216184,mtx
1.2,ls,ri,,,158.8,,158.7,62,2.454905711,0.059727192,-3.422879756,0.170715916,mtx
1,ls,gr,,,161.8,,161.7,64,2.841917529,0.035391265,-2.362351098,0.196014241,mtx
5,ls,ri,,,164.5,,164.4,66,-2.157934522,0.124883378,-2.460468086,0.208585342,mtx
0.3,ls,gr,,,192.1,SUB 10.0,182,68,-2.946809086,0.143128537,-4.057322946,0.329932913,mtx
0.4,ls,ri,,,193.7,,183.6,68.5,-2.863296772,0.10127243,-4.355004864,0.603928136,mtx
1.3,ls,gr,,,197.4,,187.3,69,2.511159638,0.049862647,-2.268873825,0.294962828,mtx
0.2,ls,ri,,,199.8,,189.7,70,2.33763714,0.087815865,-1.880443032,0.227502965,mtx
4.5,ls,gr,,,201.2,,191.1,70.5,2.165335333,0.068961499,-1.733024202,0.225995543,mtx
1.1,ls,ri,,,202.2,,192.1,72,1.887166998,0.076460186,-2.759796609,0.360034513,mtx
