Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,
T66,6/21/17,13.081495,39.190469,13.083121,39.189297,WGS84,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,DZ_SAMPLE,DZ_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
7.4,dl,st,,,79.9,79.9,,0,,0,0,,,mtx
2.3,dl,icb,st,,,,,2.8,,2.8,0,,,mtx
15.3,dl,st,,,,,,4.6,,4.6,0,,,mtx
13.3,dl,R,,,,,,6,,6,0,,,mtx
3.3,dl,st,,,,,,7.8,,7.8,1,,,mtx
2.5,dl,icb,onc,,,,,9.4,,9.4,1,,,mtx
13.3,cover,cover,,,,,,11.5,,11.5,2,,,mtx
12.1,si,di,,,,,,12.9,,12.9,2,,,mtx
0.5,si,sts,,,,,,15.7,,15.7,2,,,mtx
1.4,cover,cover,,,,,,17.2,,17.2,2,,,mtx
1.4,si,css,ark,,,,,19.4,,19.4,2,,,mtx
0.1,si,vcss,ark,,,,,20.6,,20.6,2,,,mtx
1.4,si,css,ark,,,,,22.1,,22.1,2,,,mtx
8.4,si,mss,ark,,,,,23.5,,23.5,2,,,mtx
4.2,cover,cover,,,,,,26.2,,26.2,3,,,mtx
37.8,si,fss,ark,,,,,28.2,,28.2,3,,,mtx
,,,,,,,,33.8,,33.8,3,,,mtx
,,,,,,,,36.2,,36.2,3,,,mtx
,,,,,,,,40.1,,40.1,4,,,mtx
,,,,,,,,41.2,,41.2,4,,,mtx
,,,,,,,,43.1,,43.1,5,,,mtx
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
