Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
Y04,5/22/17,13.104143,39.171506,13.104361,39.171173,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
2.1,si,vfss,,,19.3,,19.3,45,,,mtx
0.3,si,sts,spl,,20.3,,20.3,48,,,mtx
0.3,si,vfss,,,20.7,,20.7,48,,,mtx
0.05,si,sts,,,,,,,,,
0.3,si,vfss,,,,,,,,,
0.15,dl,gr,,,,,,,,,
0.9,si,sts,,,,,,,,,
0.2,si,vfss,,,,,,,,,
1.4,si,sts,,,,,,,,,
0.5,si,vfss,,,,,,,,,
0.3,si,sts,,,,,,,,,
1,si,vfss,rxb,,,,,,,,
0.1,si,sts,,,,,,,,,
0.3,si,vfss,,,,,,,,,
0.2,si,sts,,,,,,,,,
0.3,si,vfss,,,,,,,,,
0.3,si,sts,,,,,,,,,
0.2,dl,gr,,,,,,,,,
0.3,si,sts,,,,,,,,,
1.8,si,vfss,,,,,,,,,
0.1,si,sts,,,,,,,,,
1,si,vfss,,,,,,,,,
0.15,dl,gr,,,,,,,,,
0.3,dl,gr,,,,,,,,,
0.1,si,sts,,,,,,,,,
0.3,si,vfss,,,,,,,,,
0.1,si,sts,,,,,,,,,
0.1,si,vfss,,,,,,,,,
0.9,si,sts,,,,,,,,,
1,si,vfss,,,,,,,,,
0.5,si,vfss,,,,,,,,,
0.1,dl,gr,,,,,,,,,
1.3,si,sts,,,,,,,,,
0.1,dl,gr,,,,,,,,,
1,si,sts,,,,,,,,,
0.05,dl,gr,,,,,,,,,
0.2,si,sts,,,,,,,,,
0.2,dl,gr,,,,,,,,,
0.1,si,sts,,,,,,,,,
0.1,dl,gr,,,,,,,,,
0.1,si,sts,,,,,,,,,
0.1,dl,gr,,,,,,,,,
0.15,si,sts,,,,,,,,,
0.1,dl,gr,,,,,,,,,
0.1,sl,sts,,,,,,,,,
0.05,ls,gr,,,,,,,,,
0.7,si,sts-gr,,,,,,,,,
0.3,si,sts,,,,,,,,,
0.4,ls,gr,,,,,,,,,
2.9,si,sts,,,,,,,,,
0.15,si,vfss,spl+sc,,,,,,,,
0.8,si,sts,,,,,,,,,
5,si,di,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
