Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T23,7/13/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
0.7,dl,ri,,,0.3,,0.3,0,2.47,-4.74,mtx
2.6,si,shl,,,4.3,,4.3,2.5,1.8,-5.94,mtx
1,dl,R,,,6.2,,6.2,3,1.33,-5.58,mtx
4.7,dl,R,,,9,,9,3.5,2.41,-8.51,mtx
0.2,cover,cover,,,12.9,,12.9,5,2.19,-6.65,mtx
3.8,dl,R,,,15.8,,15.8,6,2.19,-4.11,mtx
5.3,si,shl-R,,,18.8,,18.8,7,2.77,-4.35,mtx
0.8,dl,R,,,25.1,,25.1,9.5,1.58,-4.97,mtx
3.3,si,shl-R,,,30.2,,30.2,12,1.27,-4.66,mtx
2.7,si,shl,,,31.7,,31.7,13,1.56,-4.32,mtx
0.1,dl,R,,,34.7,,34.7,14,1.57,-4.85,mtx
2.7,si,shl,,,37.8,,37.8,15,1.74,-4.15,mtx
3.7,si,shl-R,,,39.7,,39.7,17,1.59,-4.22,mtx
0.6,dl,R,,,43.4,,43.4,20,2.2,-4.18,mtx
5.3,si,shl-R,,,44.5,,44.5,20,2.04,-3.79,mtx
0.6,dl,R,,,47.3,,47.3,20,1.6,-3.57,mtx
1.5,si,shl-R,,,49.5,,49.5,20,2.29,-7.89,mtx
0.2,dl,R,,,51.5,,51.5,20,2,-7.15,mtx
1.4,si,shl-R,,,53.3,,53.3,20,1.55,-5.32,mtx
1.9,si,shl,,,54.4,,54.4,22,1.81,-5.23,mtx
10.4,dl,R,,,60.1,,60.1,24,0.55,-2.7,mtx
0.1,si,shl,,,62.2,,62.2,24,1.97,-4.56,mtx
1.2,dl,R,,,72,,72,27,2.6,-2.7,mtx
3.6,cover,cover,,,75.5,,75.5,28,2,-3.33,mtx
8.1,si,shl-R,,,77.5,,77.5,28,2.86,-3.41,mtx
1.4,cover,cover,,,79.7,,79.7,28,1.41,-4.03,mtx
2.1,si,shl-R,,,81.7,,81.7,28,2.22,-4.13,mtx
4.2,si,shl-R,,,82.9,,82.9,28,2.6,-10.29,mtx
9.2,dl,R,,,99.4,,99.4,37,3.28,-5.52,mtx
2.1,dl,R-shl,,,105.9,,105.9,39,2.25,-6.34,mtx
0.6,dl,R,,,112.9,,112.9,41,2.64,-4.7,mtx
2.3,cover,cover,,,116.7,,116.7,43,1.87,-7.27,mtx
1.4,dl,R,,,119.2,,119.2,43,2.58,-8.77,mtx
1.4,cover,cover,,,123.4,,123.4,46,2.54,-5.2,mtx
4.2,dl,R,,,125.5,,125.5,46,2.89,-5.86,mtx
1.5,cover,cover,,,142.5,,142.5,48,2.22,-5.41,mtx
2.1,si,shl-R,,,144.9,,144.9,48,2.74,-5.75,mtx
0.6,dl,R,,,152.2,,152.2,50,2.53,-4.72,mtx
5,cover,cover,,,159.3,,159.3,56,1.97,-4.58,mtx
4.5,dl,R,,,166.4,,166.4,62,2.3,-8.6,mtx
2.4,cover,cover,,,168.7,,168.7,64,2.34,-5.34,mtx
4.6,dl,R,,,171.8,,171.8,67,2.66,-7.03,mtx
0.3,si,shl,,,191.5,,191.5,70,2.42,-6.49,mtx
2.9,dl,R,,,194.3,,194.3,70,2.15,-9.22,mtx
0.6,si,shl,,,199.5,,199.5,73,3.08,-10.56,mtx
2.8,cover,cover,,,203,,203,75,2.88,-10.3,mtx
2.9,dl,R,,,209.5,,209.5,78,3.14,-10.36,mtx
16.1,cover,cover,,,212.1,,212.1,78,2.75,-5.22,mtx
3.5,dl,R,,,215.6,,215.6,80,3.33,-9.54,mtx
6.6,cover,cover,,,220.4,,220.4,81,2.8,-10.52,mtx
0.6,dl,R,,,222.2,,222.2,81,2.92,-11.11,mtx
1.8,cover,cover,,,230.6,,230.6,83,2.62,-10.07,mtx
1.4,si,shl-R,,,233.4,,233.4,83,2.44,-10.35,mtx
1.6,cover,cover,,,237.3,,237.3,84,2.33,-9.23,mtx
0.1,si,shl,,,242.3,,242.3,87,2.56,-6.06,mtx
1.6,cover,cover,,,244.8,,244.8,87,2.3,-6.26,mtx
0.9,dl,gr,,,248.6,,248.6,89,3.22,-5.66,mtx
1.4,cover,cover,,,250.3,,250.3,90,3.63,-6.62,mtx
1.4,dl,R,,,268.9,,268.9,97,3.39,-5.94,mtx
1.6,cover,cover,,,273.2,,273.2,100,3.28,-5.7,mtx
0.6,dl,R,,,275.3,,275.3,102,2.98,-4.95,mtx
0.6,si,shl,,,280.6,,280.6,105,2.55,-5.24,mtx
1.7,dl,R,,,282.9,,282.9,108,2.84,-5.31,mtx
0.2,si,shl,,,286.1,,286.1,110,3.26,-6.28,mtx
2.4,dl,R,,,290.9,,290.9,113.5,4.41,-8.93,mtx
0.8,cover,cover,,,292,,292,114,3.94,-8.9,mtx
0.8,si,shl,,,295.6,,295.6,118.5,3.68,-6.26,mtx
0.6,dl,R-shl,,,297.5,,297.5,121,3.99,-8.53,mtx
1.4,dl,R,,,302.4,,302.4,124,3.14,-5.64,mtx
16.8,cover,cover,,,305.2,,305.2,129,2.3,-4.6,mtx
5,dl,R,,,307.2,,307.2,131,2.37,-5.02,mtx
0.2,si,shl,,,309.4,,309.4,133,2.28,-5.33,mtx
4,dl,R,,,310.9,,310.9,135,1.91,-4.59,mtx
0.4,dl,R,,,313.3,,313.3,137,2.23,-5.51,mtx
3.2,cover,cover,,,341.6,,341.6,142,1.07,-10.32,mtx
2.4,dl,R,,,351.4,,351.4,146,1.14,-6.09,mtx
3.8,cover,cover,,,354.5,,354.5,146.5,0.09,-5.23,mtx
0.2,si,shl,,,362.3,,362.3,148,0.22,-6.9,mtx
4.2,dl,R,,,363.2,,363.2,150,-0.89,-7.69,mtx
0.7,si,shl,,,382.4,,382.4,153,-1.36,-5.68,mtx
5.2,dl,R-shl,,,390.4,,390.4,155,0.74,-5.65,mtx
4,dl,R,dxb,,395.2,,395.2,158,-0.21,-4.06,mtx
3.2,cover,cover,,,398.8,,398.8,161,0.93,-3.18,mtx
10.1,dl,R,dxb,,409.4,,409.4,164,1.45,-3.59,mtx
0.8,dl,R,,,411.6,,411.6,167,0.95,-3.8,mtx
2,cover,cover,,,412.4,,412.4,167,0.78,-4.53,mtx
2.5,si,shl-R,,,415.3,,415.3,169.5,-0.08,-4.78,mtx
3.6,dl,R,,,422.4,,422.4,171,-0.36,-1.36,mtx
2.8,si,shl,,,426.8,,426.8,177,0.43,-3.99,mtx
1.7,si,shl-R,,,436.9,,436.9,181,-1.86,-7.7,mtx
0.3,dl,R,,,438.5,,438.5,183,-0.68,-8.33,mtx
3.2,si,shl,,,440.8,,440.8,183,-0.19,-5.93,mtx
1.2,si,shl-R,,,442.8,,442.8,184,0.31,-5.31,mtx
6,si,shl,,,443.2,,443.2,185,-1.26,-6.97,mtx
0.2,dl,R,,,454.4,,454.4,189,-4.47,-5.41,mtx
2.6,si,shl,,,455.8,,455.8,190,-1.81,-2.67,mtx
5.2,cover,cover,,,458.4,,458.4,191,-1.48,-3.02,mtx
1.3,dl,R,dxb,,461.5,,461.5,193,,,
0.3,si,shl,,,482.6,,482.6,198,,,
2,dl,R-shl,,,490.7,,490.7,201,-11.12,-6.35,mtx
0.9,dl,R,,,492,,492,203,-10.81,-6.3,mtx
1.8,si,shl-R,,,493.4,,493.4,205,-5.99,-5.18,mtx
1.3,dl,R,,,514.1,,514.1,207,5.18,-3.66,mtx
0.5,si,shl,,,516.1,,516.1,207,3.7,-4.87,mtx
3.1,cover,cover,,,518,,518,207,3.33,-4.42,mtx
1,dl,ri,,,520.5,,520.5,207,4.52,-5.04,mtx
0.1,si,shl,,,523.6,,523.6,207,5.05,-3.93,mtx
0.9,dl,ri,,,526.1,,526.1,207,6.22,-2.99,mtx
1.6,dl,R,,,526.4,,526.4,207,4.51,-6.87,mtx
0.9,si,shl,,,527.8,,527.8,207,6.14,-4.63,mtx
1.7,dl,ri,,,530.3,,530.3,207,5.31,-4.66,mtx
2.8,cover,cover,,,533.4,,533.4,207,5.51,-3.87,mtx
1.5,si,shl-R,,,535.9,,535.9,207,5.73,-4.38,mtx
0.4,dl,R,,,539,,539,207,4.23,-4.15,mtx
