Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T27,1/18/13,,,,,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
3.8,si,shl,,,5.1,,5.1,4.5,3.497816944,0.046192474,-4.725849565,0.1821185,mtx
0.2,cover,cover,,,6.2,,6.2,8.5,2.880926154,0.105271546,-6.772498715,0.418257829,mtx
0.7,dl,ri,,,10.3,,10.3,17.5,3.020558782,0.033997564,-5.195560214,0.129529568,mtx
0.1,cover,cover,,,11.8,,11.8,19.5,2.656295932,0.050575943,-5.75204369,0.113186259,mtx
0.3,dl,R,,,17.4,,17.4,30.5,3.668223166,0.05783224,-4.7265786,0.312974641,mtx
0.2,dl,ri,,,20.1,,20.1,39,3.196481448,0.098865247,-6.21073855,0.309334764,mtx
0.1,dl,R,,,29.6,,29.6,45.5,1.777201864,0.041716406,-5.117279959,0.168274058,mtx
0.2,cover,cover,,,31.7,,31.7,48,1.713713674,0.040902929,-4.729493118,0.131766764,mtx
0.6,dl,ri,,,37.3,,37.3,52.5,0.663387917,0.026778786,-4.399765713,0.150146996,mtx
1.6,si,shl,,,47.9,,47.9,62,2.842894991,0.049534503,-5.707564456,0.253037735,mtx
0.1,dl,R,,,66.1,,66.1,64,1.758887027,0.051336957,-5.881395433,0.165298991,mtx
0.9,si,shl,,,108.6,,108.6,69,3.798075968,0.045096554,-7.696143738,0.150561788,mtx
0.3,dl,R,,,129.2,,129.2,78,2.49781384,0.070038364,-5.499889508,0.30325265,mtx
0.4,si,shl,,,131.4,,131.4,85.5,1.942688334,0.044783088,-4.362108167,0.172977759,mtx
0.1,dl,ri,,,134.4,,134.4,98,1.443729118,0.043942227,-5.063477973,0.274287496,mtx
0.2,si ,shl,,,138.6,,138.6,112.5,1.308980076,0.061974581,-4.929285095,0.375102042,mtx
0.3,dl,ri,,,153.8,,153.8,127.5,1.572376398,0.050668853,-4.436942727,0.322712334,mtx
0.2,si,shl,,,156.1,,156.1,133,1.658917851,0.046051559,-4.177163984,0.289058663,mtx
0.2,dl,ri,,,157.4,,157.4,135,1.692262234,0.074224543,-5.00541272,0.34484888,mtx
1.3,cover,cover,,,161.3,,161.3,147,1.866922661,0.062360062,-4.859625257,0.180528108,mtx
0.3,dl,ri,,,165.6,,165.6,157.5,2.232869115,0.105871708,-5.132517255,0.280170231,mtx
0.5,si,shl,,,167.4,,167.4,160,2.062986833,0.042015675,-5.551900005,0.1866516,mtx
0.3,dl,ri,,,169.4,,169.4,163,0.39880762,0.033483412,-5.485010551,0.136931272,mtx
0.2,si,shl,,,192.7,,192.7,179,1.235599063,0.025459746,-3.320330668,0.156268447,mtx
0.7,cover,cover,,,193.3,,193.3,179,1.128035059,0.024252149,-2.671053694,0.116934824,mtx
0.3,dl,ri,,,194.9,,194.9,181,0.603435529,0.026664386,-2.481559357,0.051968525,mtx
0.4,si,shl,,,198.3,,198.3,187,0.555831779,0.052179354,-2.581951413,0.16167097,mtx
1.2,si,shl,,,200.8,,200.8,192,0.693328424,0.039631811,-2.395733012,0.124676319,mtx
0.2,si,shl,,,203.4,,203.4,197,1.177183205,0.080615883,-2.606946447,0.238133883,mtx
1.4,cover,cover,,,204.5,,204.5,198,1.106537135,0.023984124,-2.719065295,0.143011505,mtx
0.1,dl,gr,,,209.8,,209.8,205.5,1.502720311,0.059661967,-2.41985956,0.079781337,mtx
0.1,dl,mi,,,212.1,,212.1,210,1.286601492,0.058905038,-3.343587653,0.100675907,mtx
0.3,cover,cover,,,225.4,,225.4,220,-0.188809431,0.121996477,-6.52236589,0.621224209,mtx
0.2,dl,ri,,,245.1,,245.1,237,-2.072946555,0.037514063,-5.506403097,0.17105098,mtx
0.3,cover,cover,,,246.3,,246.3,239,-1.715727415,0.034978191,-6.688508475,0.111093656,mtx
0.2,dl,ri,,,247.7,,247.7,242,0.037369962,0.036525462,-6.03750144,0.101120428,mtx
0.8,cover,cover,,,280.1,,280.1,254.5,1.083022455,0.058132664,-7.043191289,0.244382604,mtx
0.3,dl,ri,,,314.7,,314.7,266,1.090461705,0.024728174,-7.184928732,0.173491195,mtx
0.3,dl,R,,,316.3,,316.3,268,0.971734171,0.030667002,-4.86224776,0.158978226,mtx
0.5,dl,ri,,,319.4,,319.4,270,1.329438174,0.043530351,-5.919572906,0.113838161,mtx
0.2,dl,R,,,322.5,,322.5,274,1.34882032,0.050431974,-6.348350286,0.155485433,mtx
0.6,cover,cover,,,324.9,,324.9,274,0.502115524,0.080981356,-7.841315846,0.19771963,mtx
0.7,si,shl,,,329.4,,329.4,279,1.366913108,0.071513916,-7.060279603,0.20992283,mtx
0.6,cover,cover,,,332.6,,332.6,289,0.517047834,0.128232783,-6.847226344,0.176971293,mtx
